,,,-47.52000049E-3,108.0000000,,,,,-47.52000049E-3,-2.0000000,
,,,-47.47999832E-3,110.0000000,,,,,-47.47999832E-3,-4.00000000,
,,,-47.43999988E-3,114.0000000,,,,,-47.43999988E-3,-4.00000000,
,,,-47.39999771E-3,114.0000000,,,,,-47.39999771E-3,-2.0000000,
,,,-47.35999927E-3,116.0000000,,,,,-47.35999927E-3,-4.00000000,
,,,-47.31999710E-3,120.0000000,,,,,-47.31999710E-3,-4.00000000,
,,,-47.27999866E-3,124.0000000,,,,,-47.27999866E-3,-4.00000000,
,,,-47.24000022E-3,126.0000000,,,,,-47.24000022E-3,-4.00000000,
,,,-47.19999805E-3,130.0000000,,,,,-47.19999805E-3,-4.00000000,
,,,-47.15999961E-3,132.0000000,,,,,-47.15999961E-3,-4.00000000,
,,,-47.11999744E-3,134.0000000,,,,,-47.11999744E-3,-4.00000000,
,,,-47.07999900E-3,134.0000000,,,,,-47.07999900E-3,-4.00000000,
,,,-47.04000056E-3,136.0000000,,,,,-47.04000056E-3,-4.00000000,
,,,-46.99999839E-3,136.0000000,,,,,-46.99999839E-3,-4.00000000,
,,,-46.95999995E-3,138.0000000,,,,,-46.95999995E-3,-4.00000000,
,,,-46.91999778E-3,142.0000000,,,,,-46.91999778E-3,-4.00000000,
,,,-46.87999934E-3,146.0000000,,,,,-46.87999934E-3,-4.00000000,
,,,-46.83999717E-3,150.00000000,,,,,-46.83999717E-3,-4.00000000,
,,,-46.79999873E-3,154.00000000,,,,,-46.79999873E-3,-4.00000000,
,,,-46.76000029E-3,156.00000000,,,,,-46.76000029E-3,-2.0000000,
,,,-46.71999812E-3,156.00000000,,,,,-46.71999812E-3,-4.00000000,
,,,-46.67999968E-3,158.00000000,,,,,-46.67999968E-3,-4.00000000,
,,,-46.63999751E-3,158.00000000,,,,,-46.63999751E-3,-4.00000000,
,,,-46.59999907E-3,160.00000000,,,,,-46.59999907E-3,-4.00000000,
,,,-46.56000063E-3,162.00000000,,,,,-46.56000063E-3,-4.00000000,
